# System Log File
# This file contains system-wide logs including database operations, service health checks, and general system events
# Format: timestamp | level | message2025-09-14 13:53:44 | INFO     | SYSTEM | System logger test - this should appear in logs/system.log
2025-09-14 13:53:44 | INFO     | DEMO | Demo logger test - this should appear in logs/system.log
2025-09-14 14:09:44 | INFO     | DEMO | Registered pipeline: face_processing_pipeline
2025-09-14 14:09:44 | INFO     | DEMO | Registered built-in pipelines
2025-09-14 14:09:44 | INFO     | DEMO | Connected to MongoDB: localhost:27017/ai_tasks
2025-09-14 14:09:44 | INFO     | DEMO | Downloading task from storage: face_detection
2025-09-14 14:09:44 | INFO     | DEMO | Connected to MinIO: localhost:9000/ai-tasks
2025-09-14 14:09:44 | INFO     | DEMO | Downloaded and extracted pipeline package to: F:\Viettel\Sources\worker-task-manager-v2\task_cache\face_detection
2025-09-14 14:09:45 | INFO     | DEMO | Installed requirements from F:\Viettel\Sources\worker-task-manager-v2\task_cache\face_detection\requirements.txt
2025-09-14 14:09:45 | INFO     | DEMO | Task validation passed: face_detection
2025-09-14 14:09:45 | INFO     | DEMO | Successfully loaded task: face_detection
2025-09-14 14:09:45 | INFO     | DEMO | Registered task: face_detection on queue: face_detection
2025-09-14 14:09:45 | ERROR    | DEMO | Task metadata not found: text_sentiment
2025-09-14 14:09:45 | ERROR    | DEMO | Failed to load task: text_sentiment
2025-09-14 14:09:45 | INFO     | DEMO | Downloading task from storage: simple_face_detector
2025-09-14 14:09:45 | INFO     | DEMO | Downloaded and extracted pipeline package to: F:\Viettel\Sources\worker-task-manager-v2\task_cache\simple_face_detector
2025-09-14 14:09:45 | INFO     | DEMO | Task validation passed: simple_face_detector
2025-09-14 14:09:45 | INFO     | DEMO | Successfully loaded task: simple_face_detector
2025-09-14 14:09:45 | INFO     | DEMO | Registered task: simple_face_detector on queue: default
2025-09-14 14:09:45 | INFO     | DEMO | Downloading task from storage: face_attribute
2025-09-14 14:09:45 | INFO     | DEMO | Downloaded and extracted pipeline package to: F:\Viettel\Sources\worker-task-manager-v2\task_cache\face_attribute
2025-09-14 14:09:45 | INFO     | DEMO | Task validation passed: face_attribute
2025-09-14 14:09:45 | INFO     | DEMO | Successfully loaded task: face_attribute
2025-09-14 14:09:45 | INFO     | DEMO | Registered task: face_attribute on queue: face_attribute
2025-09-14 14:09:45 | INFO     | DEMO | Downloading task from storage: face_extractor
